filename,expected_result,backward_exists,forward_exists,num_conditions,num_loops,cosyn_res,cosyn_time,cvc5_res,cvc5_time,repairExamples_res,repairExamples_time,sketch_res,sketch_time
/sv-comp/locks/test_locks_14-2.c,unknown,yes,yes,2, 1,unrealizable,0m0.022s,maybe unrealizable,0m0.051s,error,error,error,error,
/sv-comp/locks/test_locks_15-1.c,unknown,yes,yes,2, 1,unrealizable,0m0.019s,maybe unrealizable,0m0.028s,error,error,error,error,
/sv-comp/locks/test_locks_15-2.c,unknown,yes,yes,1, 1,realizable,0m0.015s,realizable,0m0.020s,error,error,error,error,
/sv-comp/locks/test_locks_5.c,unknown,yes,yes,1, 1,realizable,0m0.015s,realizable,0m0.022s,error,error,error,error,
/sv-comp/locks/test_locks_6.c,unknown,yes,yes,1, 1,realizable,0m0.013s,realizable,0m0.020s,error,error,error,error,
/sv-comp/locks/test_locks_7.c,unknown,yes,yes,1, 1,realizable,0m0.009s,realizable,0m0.019s,error,error,error,error,
/sv-comp/locks/test_locks_8.c,unknown,yes,yes,1, 1,realizable,0m0.014s,realizable,0m0.019s,error,error,error,error,
/sv-comp/locks/test_locks_9.c,unknown,yes,yes,1, 1,realizable,0m0.013s,realizable,0m0.020s,error,error,error,error,
/sv-comp/ntdrivers-simplified/cdaudio_simpl1_synth_cil-1_unknown.c,unknown,yes,yes,1, 1,realizable,0m2.844s,unknown,60m0.008s,error,error,error,error,
/sv-comp/ntdrivers-simplified/cdaudio_simpl1_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,realizable,0m2.644s,unknown,60m0.014s,error,error,error,error,
/sv-comp/ntdrivers-simplified/diskperf_simpl1_synth_cil_unknown.c,unknown,yes,yes,2, 1,realizable,0m0.569s,unknown,60m0.006s,error,error,error,error,
/sv-comp/ntdrivers-simplified/floppy_simpl3_synth_cil-1_unknown.c,unknown,yes,yes,1, 1,unrealizable,0m0.196s,unknown,60m0.006s,error,error,error,error,
/sv-comp/ntdrivers-simplified/floppy_simpl3_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,realizable,0m0.654s,unknown,60m0.006s,error,error,error,error,
/sv-comp/ntdrivers-simplified/floppy_simpl4_synth_cil-1_unknown.c,unknown,yes,yes,1, 1,realizable,0m0.531s,unknown,60m0.008s,error,error,error,error,
/sv-comp/ntdrivers-simplified/floppy_simpl4_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,realizable,0m1.042s,unknown,60m0.009s,error,error,error,error,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl1_synth_cil_unknown.c,unknown,yes,yes,1, 0,realizable,0m0.035s,realizable,0m0.199s,error,error,error,error,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth_cil-1_unknown.c,unknown,yes,yes,1, 0,realizable,0m0.209s,unknown,60m0.006s,error,error,error,error,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth_cil-2_unknown.c,unknown,yes,yes,1, 0,unrealizable,0m0.151s,unknown,60m0.007s,error,error,error,error,
/sv-comp/ssh-simplified/s3_clnt_1_cil-1.c,unknown,yes,yes,1, 1,unrealizable,0m1.202s,unknown,60m0.019s,error,error,error,error,
