filename,expected_result,backward_exists,forward_exists,num_conditions,num_loops,sketch_res,sketch_time
/sv-comp/ntdrivers-simplified/floppy_simpl4_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.269s,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl1_synth_cil_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.297s,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth_cil-1_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.254s,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth_cil-2_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.326s,
/sv-comp/ssh-simplified/s3_clnt_1_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.302s,
/sv-comp/ssh-simplified/s3_clnt_1_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.278s,
/sv-comp/ssh-simplified/s3_clnt_2_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.279s,
/sv-comp/ssh-simplified/s3_clnt_2_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.277s,
/sv-comp/ssh-simplified/s3_clnt_3_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.248s,
/sv-comp/ssh-simplified/s3_clnt_3_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.304s,
/sv-comp/ssh-simplified/s3_clnt_3_cil-3.c,unknown,yes,yes,1, 1,unknown,0m0.283s,
/sv-comp/ssh-simplified/s3_clnt_4_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.279s,
/sv-comp/ssh-simplified/s3_clnt_4_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.284s,
/sv-comp/ssh-simplified/s3_srvr_10_cil.c,unknown,yes,yes,1, 1,unknown,0m0.304s,
/sv-comp/ssh-simplified/s3_srvr_11_cil.c,unknown,yes,yes,1, 1,unknown,0m0.298s,
/sv-comp/ssh-simplified/s3_srvr_12_cil.c,unknown,yes,yes,1, 1,unknown,0m0.280s,
/sv-comp/ssh-simplified/s3_srvr_13_cil.c,unknown,yes,yes,1, 1,unknown,0m0.333s,
/sv-comp/ssh-simplified/s3_srvr_14_cil.c,unknown,yes,yes,1, 1,unknown,0m0.279s,
/sv-comp/ssh-simplified/s3_srvr_1a_cil.c,unknown,yes,yes,2, 1,unknown,0m0.245s,
/sv-comp/ssh-simplified/s3_srvr_1b_cil.c,unknown,yes,yes,5, 1,unknown,0m0.237s,
/sv-comp/ssh-simplified/s3_srvr_1_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.322s,
/sv-comp/ssh-simplified/s3_srvr_1_cil-2.c,unknown,yes,yes,22, 1,unknown,0m0.274s,
/sv-comp/ssh-simplified/s3_srvr_2_cil-1.c,unknown,yes,yes,3, 1,unknown,0m0.302s,
/sv-comp/ssh-simplified/s3_srvr_2_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.288s,
/sv-comp/ssh-simplified/s3_srvr_3_cil.c,unknown,yes,yes,1, 1,unknown,0m0.283s,
/sv-comp/ssh-simplified/s3_srvr_4_cil.c,unknown,yes,yes,1, 1,unknown,0m0.277s,
/sv-comp/ssh-simplified/s3_srvr_6_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.278s,
/sv-comp/ssh-simplified/s3_srvr_6_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.279s,
/sv-comp/ssh-simplified/s3_srvr_7_cil.c,unknown,yes,yes,1, 1,unknown,0m0.280s,
/sv-comp/ssh-simplified/s3_srvr_8_cil.c,unknown,yes,yes,1, 1,unknown,0m0.286s,
/tcas/tcas_v10_realizable.c,realizable,yes,yes,8, 0,realizable,0m38.345s,
/tcas/tcas_v11_unknown.c,unknown,yes,yes,8, 0,realizable,41m56.327s,
/tcas/tcas_v12_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.342s,
/tcas/tcas_v13_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.483s,
/tcas/tcas_v14_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.476s,
/tcas/tcas_v15_unknown.c,unknown,yes,yes,2, 0,realizable,0m33.564s,
/tcas/tcas_v16_unknown.c,unknown,yes,yes,2, 0,unknown,0m2.485s,
/tcas/tcas_v17_unknown.c,unknown,yes,yes,2, 0,unknown,57m16.876s,
/tcas/tcas_v18_unknown.c,unknown,yes,yes,2, 0,unknown,0m2.585s,
/tcas/tcas_v19_unknown.c,unknown,yes,yes,2, 0,unknown,0m12.480s,
/tcas/tcas_v1_realizable.c,realizable,yes,yes,1, 0,unknown,60m0.002s,
/tcas/tcas_v20_realizable.c,realizable,yes,yes,1, 0,realizable,12m38.573s,
/tcas/tcas_v21_unknown.c,unknown,yes,yes,1, 0,realizable,12m37.418s,
/tcas/tcas_v22_unknown.c,unknown,yes,yes,1, 0,realizable,24m54.820s,
/tcas/tcas_v23_unknown.c,unknown,yes,yes,1, 0,unknown,60m0.002s,
/tcas/tcas_v24_unknown.c,unknown,yes,yes,1, 0,realizable,4m29.113s,
/tcas/tcas_v25_realizable.c,realizable,yes,yes,1, 0,unknown,60m0.002s,
/tcas/tcas_v26_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.370s,
/tcas/tcas_v27_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.298s,
/tcas/tcas_v28_realizable.c,realizable,yes,yes,2, 0,realizable,0m20.917s,
/tcas/tcas_v29_unknown.c,unknown,yes,yes,1, 0,unknown,0m3.546s,
